          Iteration               a                              b                                        Pn                                        (Pn-Pn-1)/Pn

               1                 -1.0000000000                  0.0000000000                  4.1321206093                  1.0000000000
               2                 -0.5000000000                  0.0000000000                  1.7059693336                 -1.4221540689
               3                 -0.5000000000                 -0.2500000000                 -0.0522382855                 33.6574516296
               4                 -0.3750000000                 -0.2500000000                  0.8586091399                  1.0608406067
               5                 -0.3125000000                 -0.2500000000                  0.4101080298                 -1.0936169624
               6                 -0.2812500000                 -0.2500000000                  0.1805394292                 -1.2715704441
               7                 -0.2656250000                 -0.2500000000                  0.0645359755                 -1.7975006104
               8                 -0.2578125000                 -0.2500000000                  0.0062432289                 -9.3369550705
               9                 -0.2578125000                 -0.2539062500                 -0.0229741931                  1.2717496157
               10                 -0.2578125000                 -0.2558593750                 -0.0083596110                 -1.7482371330
               11                 -0.2578125000                 -0.2568359375                 -0.0010566711                 -6.9112701416
               12                 -0.2573242188                 -0.2568359375                  0.0025936365                  1.4074090719
               13                 -0.2570800781                 -0.2568359375                  0.0007685423                 -2.3747479916
               14                 -0.2570800781                 -0.2569580078                 -0.0001440048                  6.3369207382
               15                 -0.2570190430                 -0.2569580078                  0.0003122687                  1.4611567259
               16                 -0.2569885254                 -0.2569580078                  0.0000841618                 -2.7103400230
               17                 -0.2569885254                 -0.2569732666                 -0.0000299215                  3.8127489090
               18                 -0.2569808960                 -0.2569732666                  0.0000271201                  2.1032967567
               19                 -0.2569808960                 -0.2569770813                 -0.0000014305                 19.9583339691
               20                 -0.2569789886                 -0.2569770813                  0.0000128150                  1.1116279364
               21                 -0.2569780350                 -0.2569770813                  0.0000056624                 -1.2631578445
               22                 -0.2569775581                 -0.2569770813                  0.0000020862                 -1.7142857313
               23                 -0.2569773197                 -0.2569770813                  0.0000002980                 -6.0000000000
               24                 -0.2569773197                 -0.2569772005                 -0.0000005364                  1.5555555820
               25                 -0.2569773197                 -0.2569772601                 -0.0000001192                 -3.5000000000
               26                 -0.2569772899                 -0.2569772601                  0.0000001192                  2.0000000000
               27                 -0.2569772899                 -0.2569772601                 -0.0000001192                  2.0000000000
               28                 -0.2569772899                 -0.2569772601                 -0.0000001192                 -0.0000000000
 Root is:  -0.256977260    
